,Relative Gain,Fold,Prototype,Data Dimension,Center Dimension,Data Set
295,0.039993344042598133,0,flag_median,1,4,salmonella_Liver
296,0.08653010361458757,1,flag_median,1,4,salmonella_Liver
297,0.09781654072573276,3,flag_median,1,4,salmonella_Liver
298,-0.2298956795998215,4,flag_median,1,4,salmonella_Liver
299,0.015993497641615173,0,eigengene,1,8,salmonella_Liver
300,0.11537603556895726,1,eigengene,1,8,salmonella_Liver
301,0.025416776835411214,2,eigengene,1,8,salmonella_Liver
302,0.05433865792471382,3,eigengene,1,8,salmonella_Liver
303,-0.03449607591619408,4,eigengene,1,8,salmonella_Liver
304,0.10399293444521951,0,flag_mean,1,8,salmonella_Liver
305,0.08653010361458757,1,flag_mean,1,8,salmonella_Liver
306,0.050840333285876005,2,flag_mean,1,8,salmonella_Liver
307,0.05433865792471382,3,flag_mean,1,8,salmonella_Liver
308,-0.09196654758784939,4,flag_mean,1,8,salmonella_Liver
309,0.02399344644194268,0,flag_median,1,8,salmonella_Liver
310,0.12499134622041375,1,flag_median,1,8,salmonella_Liver
311,0.04346918722445903,3,flag_median,1,8,salmonella_Liver
312,-0.13794292492517335,4,flag_median,1,8,salmonella_Liver
313,-0.024006246360023242,0,flag_mean,2,1,salmonella_Liver
314,0.03845355035730491,1,flag_mean,2,1,salmonella_Liver
315,0.0593148521026976,2,flag_mean,2,1,salmonella_Liver
316,0.11955548212624234,3,flag_mean,2,1,salmonella_Liver
317,0.01148030142112999,4,flag_mean,2,1,salmonella_Liver
318,0.05599324164325359,0,flag_median,2,1,salmonella_Liver
319,-0.00962300289997764,1,flag_median,2,1,salmonella_Liver
320,0.0677893709195192,2,flag_median,2,1,salmonella_Liver
321,0.14129442352675192,3,flag_median,2,1,salmonella_Liver
322,-0.023001981581863062,4,flag_median,2,1,salmonella_Liver
323,0.11199288324554724,0,flag_mean,2,2,salmonella_Liver
324,0.21152914208352236,1,flag_mean,2,2,salmonella_Liver
325,0.0677893709195192,2,flag_mean,2,2,salmonella_Liver
326,0.10868601142598755,3,flag_mean,2,2,salmonella_Liver
327,0.18389171643609536,4,flag_mean,2,2,salmonella_Liver
328,0.09599298564489178,0,flag_median,2,2,salmonella_Liver
329,0.21152914208352236,1,flag_median,2,2,salmonella_Liver
330,0.0762638897363408,2,flag_median,2,2,salmonella_Liver
331,0.10868601142598755,3,flag_median,2,2,salmonella_Liver
332,0.17239762210176446,4,flag_median,2,2,salmonella_Liver
333,0.1279927808462027,0,flag_mean,2,4,salmonella_Liver
334,0.20191383143206587,1,flag_mean,2,4,salmonella_Liver
335,0.08473840855316239,2,flag_mean,2,4,salmonella_Liver
336,0.10868601142598755,3,flag_mean,2,4,salmonella_Liver
337,0.21837399943908853,4,flag_mean,2,4,salmonella_Liver
338,0.09599298564489178,0,flag_median,2,4,salmonella_Liver
339,0.22114445273497907,1,flag_median,2,4,salmonella_Liver
340,0.0677893709195192,2,flag_median,2,4,salmonella_Liver
341,0.06520812862496861,3,flag_median,2,4,salmonella_Liver
342,0.13791533909877107,4,flag_median,2,4,salmonella_Liver
343,0.1759924736481686,0,flag_mean,2,8,salmonella_Liver
344,0.1826832101291529,1,flag_mean,2,8,salmonella_Liver
345,0.0677893709195192,2,flag_mean,2,8,salmonella_Liver
346,0.14129442352675192,3,flag_mean,2,8,salmonella_Liver
347,0.25285628244208125,4,flag_mean,2,8,salmonella_Liver
348,0.15199262724718565,0,flag_median,2,8,salmonella_Liver
349,0.1826832101291529,1,flag_median,2,8,salmonella_Liver
350,0.0677893709195192,2,flag_median,2,8,salmonella_Liver
351,0.10868601142598755,3,flag_median,2,8,salmonella_Liver
