,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
122,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,20,0.8888888888888888,726
123,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,21,1.0,563
124,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,22,0.7807017543859649,175
125,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,23,0.9736842105263157,743
126,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,24,0.9181286549707601,334
127,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,25,0.7543859649122806,112
128,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,26,0.8918128654970761,548
129,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,27,0.9181286549707601,373
130,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,28,0.9444444444444444,774
131,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,29,1.0,668
132,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,30,0.8888888888888888,633
133,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,31,1.0,974
134,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,32,0.9444444444444444,486
135,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,2,33,0.9736842105263157,289
136,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,0,0.875,1015
137,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,1,1.0,799
138,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,2,1.0,1106
139,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,3,1.0,4085
140,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,4,0.875,1099
141,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,5,1.0,2484
142,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,6,1.0,1730
143,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,7,1.0,1658
144,salmonella_Liver,WGCNA_LBG,eigengene,1,1,2,8,1.0,1015
