,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,salmonella_Liver_susceptible,1,0,23,0.2736229994871278,937
0,salmonella_Liver_susceptible,1,0,24,0.17537871987650117,380
0,salmonella_Liver_susceptible,1,0,25,0.2945865936675553,537
0,salmonella_Liver_susceptible,1,0,26,0.22707602981168296,518
0,salmonella_Liver_susceptible,1,0,27,0.18924072600572586,669
0,ebola_Liver_Lethal,1,4,0,0.9399068668593265,2370
0,ebola_Liver_Lethal,1,4,1,0.6808058212328505,1590
0,salmonella_Liver_tolerant,1,4,0,0.44866707405792017,636
0,salmonella_Liver_tolerant,1,4,1,0.33644146136763375,753
0,salmonella_Liver_tolerant,1,4,2,0.7642441910022836,1913
0,salmonella_Liver_tolerant,1,4,3,0.6815651587218176,1327
0,salmonella_Liver_tolerant,1,4,4,0.20511597641827722,1452
0,salmonella_Liver_tolerant,1,4,5,0.3643115958765529,1230
0,salmonella_Liver_tolerant,1,4,6,0.49895377173782657,4072
0,salmonella_Liver_tolerant,1,4,7,0.26404722675996,1232
0,salmonella_Liver_tolerant,1,4,8,0.5344838241305339,559
0,salmonella_Liver_tolerant,1,4,9,0.38496142686525553,669
0,salmonella_Liver_tolerant,1,4,10,0.24850783315420436,697
0,salmonella_Liver_tolerant,1,4,11,0.6844576046798482,1371
0,salmonella_Liver_tolerant,1,4,12,0.48102256534454413,1509
0,salmonella_Liver_tolerant,1,4,13,0.4429316948781067,938
0,salmonella_Liver_tolerant,1,4,14,0.17457785293524672,684
0,salmonella_Liver_tolerant,1,4,15,0.32589944302514634,990
0,salmonella_Liver_tolerant,1,4,16,0.31397135704186785,1214
0,salmonella_Liver_tolerant,1,4,17,0.31638547477012086,1284
0,salmonella_Liver_tolerant,1,4,18,0.5904091362690207,970
0,salmonella_Liver_tolerant,1,4,19,0.3577617951187398,2832
0,gse73072_hrv_48_64_control,1,1,0,0.3350084085188957,111
0,gse73072_hrv_48_64_control,1,1,1,0.6996494797997782,46
0,gse73072_hrv_48_64_control,1,1,2,0.4074657642744958,795
0,gse73072_hrv_48_64_control,1,1,3,0.3591866736656927,846
0,gse73072_hrv_48_64_control,1,1,4,0.4356552617481538,1039
0,gse73072_hrv_48_64_control,1,1,5,0.4461946143451167,1145
0,gse73072_hrv_48_64_control,1,1,6,0.505507853460976,1077
0,gse73072_hrv_48_64_control,1,1,7,0.5117224584687295,1022
0,gse73072_hrv_48_64_control,1,1,8,0.2778071141393627,272
0,gse73072_hrv_48_64_control,1,1,9,0.3442372761505507,2454
0,gse73072_hrv_48_64_control,1,1,10,0.5915031525713034,1553
0,gse73072_hrv_48_64_control,1,1,11,0.7614027745809753,97
0,gse73072_hrv_48_64_control,1,1,12,0.4102867802353894,704
0,gse73072_hrv_48_64_control,1,1,13,0.35494876882511395,524
0,gse73072_hrv_48_64_control,1,1,14,0.3372933550795475,1473
0,gse73072_hrv_48_64_control,1,1,15,0.4325191817905963,1564
0,gse73072_hrv_48_64_control,1,1,16,0.4662070331439421,1285
0,gse73072_hrv_48_64_control,1,1,17,0.4359283330967704,565
0,gse73072_hrv_48_64_control,1,1,18,0.24877334746442345,399
0,gse73072_hrv_48_64_control,1,1,19,0.4214197665509834,1291
0,gse73072_hrv_48_64_control,1,1,20,0.5904887951574417,115
0,gse73072_hrv_48_64_control,1,1,21,0.5615770878066496,797
0,gse73072_hrv_48_64_control,1,1,22,0.5155872088060689,120
0,gse73072_hrv_48_64_control,1,1,23,0.47595795931824614,840
0,gse73072_hrv_48_64_control,1,1,24,0.387803364270123,720
0,gse73072_hrv_48_64_control,1,1,25,0.49881501877970363,1423
0,gse73072_hrv_48_64_shedder48_64,1,3,0,0.31887536558858876,612
0,gse73072_hrv_48_64_shedder48_64,1,3,1,0.27926824671940104,666
0,gse73072_hrv_48_64_shedder48_64,1,3,2,0.25690358762247806,111
0,gse73072_hrv_48_64_shedder48_64,1,3,3,0.19956295221086445,535
0,gse73072_hrv_48_64_shedder48_64,1,3,4,0.33085913383267335,637
0,gse73072_hrv_48_64_shedder48_64,1,3,5,0.46953147465274997,1608
0,gse73072_hrv_48_64_shedder48_64,1,3,6,0.5378284601002636,943
0,gse73072_hrv_48_64_shedder48_64,1,3,7,0.32388924208059905,637
0,gse73072_hrv_48_64_shedder48_64,1,3,8,0.4354008824608379,891
0,gse73072_hrv_48_64_shedder48_64,1,3,9,0.6064360746747577,196
0,gse73072_hrv_48_64_shedder48_64,1,3,10,0.5290713976567726,460
0,gse73072_hrv_48_64_shedder48_64,1,3,11,0.36688551129514685,1146
0,gse73072_hrv_48_64_shedder48_64,1,3,12,0.45814293143955065,451
0,gse73072_hrv_48_64_shedder48_64,1,3,13,0.5882805335883687,307
0,gse73072_hrv_48_64_shedder48_64,1,3,14,0.1634076374894597,1352
0,gse73072_hrv_48_64_shedder48_64,1,3,15,0.5896256202426201,928
0,gse73072_hrv_48_64_shedder48_64,1,3,16,0.28085391978400087,437
0,gse73072_hrv_48_64_shedder48_64,1,3,17,0.42851186425178284,618
0,gse73072_hrv_48_64_shedder48_64,1,3,18,0.23720074955387382,435
0,gse73072_hrv_48_64_shedder48_64,1,3,19,0.6078595100883969,769
0,gse73072_hrv_48_64_shedder48_64,1,3,20,0.256783088913845,243
0,gse73072_hrv_48_64_shedder48_64,1,3,21,0.3396061500466371,776
0,gse73072_hrv_48_64_shedder48_64,1,3,22,0.3905321926585183,558
0,gse73072_hrv_48_64_shedder48_64,1,3,23,0.550809548159235,96
0,gse73072_hrv_48_64_shedder48_64,1,3,24,0.24026030519301722,155
0,gse73072_hrv_48_64_shedder48_64,1,3,25,0.40310983712960635,658
0,gse73072_hrv_48_64_shedder48_64,1,3,26,0.3787061408270467,245
0,gse73072_hrv_48_64_shedder48_64,1,3,27,0.26770108570179574,1764
0,gse73072_hrv_48_64_shedder48_64,1,3,28,0.18644169648883702,280
0,gse73072_hrv_48_64_shedder48_64,1,3,29,0.46819148535206917,541
0,gse73072_hrv_48_64_shedder48_64,1,3,30,0.45905185387538927,570
0,gse73072_hrv_48_64_shedder48_64,1,3,31,0.1801709077161618,959
0,gse73072_hrv_48_64_shedder48_64,1,3,32,0.3572017464456741,778
0,gse73072_hrv_48_64_shedder48_64,1,3,33,0.2873416076391555,458
0,gse73072_hrv_48_64_shedder48_64,1,3,34,0.5352220157611891,457
0,gse73072_hrv_48_64_control,1,3,0,0.2804339400797608,1693
0,gse73072_hrv_48_64_control,1,3,1,0.3739005115403768,1357
0,gse73072_hrv_48_64_control,1,3,2,0.2658975133884035,1723
0,gse73072_hrv_48_64_control,1,3,3,0.42907711257271364,1289
0,gse73072_hrv_48_64_control,1,3,4,0.4412388701924195,204
0,gse73072_hrv_48_64_control,1,3,5,0.5665009894319382,2541
0,gse73072_hrv_48_64_control,1,3,6,0.3319928050131308,3039
0,gse73072_hrv_48_64_control,1,3,7,0.2617814478667675,437
0,gse73072_hrv_48_64_control,1,3,8,0.5156927706789232,1338
0,gse73072_hrv_48_64_control,1,3,9,0.4471315351426439,2244
0,gse73072_hrv_48_64_control,1,3,10,0.4280157464547137,1193
0,gse73072_hrv_48_64_control,1,3,11,0.4839317510242132,1550
0,gse73072_hrv_48_64_control,1,3,12,0.43071004423489745,1604
0,gse73072_hrv_48_64_control,1,3,13,0.429203588292996,2065
0,gse73072_hrv_48_64_shedder48_64,1,1,0,0.5427924401408482,945
0,gse73072_hrv_48_64_shedder48_64,1,1,1,0.22254437589849582,263
0,gse73072_hrv_48_64_shedder48_64,1,1,2,0.1921020537656715,96
0,gse73072_hrv_48_64_shedder48_64,1,1,3,0.16661893354133145,638
0,gse73072_hrv_48_64_shedder48_64,1,1,4,0.19642055345460716,179
0,gse73072_hrv_48_64_shedder48_64,1,1,5,0.3649470381171007,242
0,gse73072_hrv_48_64_shedder48_64,1,1,6,0.4645806271158626,1790
0,gse73072_hrv_48_64_shedder48_64,1,1,7,0.3850606965737329,499
0,gse73072_hrv_48_64_shedder48_64,1,1,8,0.3604862480439855,480
0,gse73072_hrv_48_64_shedder48_64,1,1,9,0.48326640605244825,510
0,gse73072_hrv_48_64_shedder48_64,1,1,10,0.27094570120147904,434
0,gse73072_hrv_48_64_shedder48_64,1,1,11,0.49187283948534744,762
0,gse73072_hrv_48_64_shedder48_64,1,1,12,0.3735930036545269,866
0,gse73072_hrv_48_64_shedder48_64,1,1,13,0.2878579799788351,1420
0,gse73072_hrv_48_64_shedder48_64,1,1,14,0.5826734336789369,1071
0,gse73072_hrv_48_64_shedder48_64,1,1,15,0.49707633734092743,561
0,gse73072_hrv_48_64_shedder48_64,1,1,16,0.317320651294676,2003
0,gse73072_hrv_48_64_shedder48_64,1,1,17,0.26235818262898053,912
0,gse73072_hrv_48_64_shedder48_64,1,1,18,0.25077790193831057,462
0,gse73072_hrv_48_64_shedder48_64,1,1,19,0.5310058240697404,495
0,gse73072_hrv_48_64_shedder48_64,1,1,20,0.49337669330673206,648
0,gse73072_hrv_48_64_shedder48_64,1,1,21,0.3883790171486182,342
0,gse73072_hrv_48_64_shedder48_64,1,1,22,0.20114872816223853,607
0,gse73072_hrv_48_64_shedder48_64,1,1,23,0.24800954089243313,297
0,gse73072_hrv_48_64_shedder48_64,1,1,24,0.25138578889765234,926
0,gse73072_hrv_48_64_shedder48_64,1,1,25,0.26463663951917005,167
0,gse73072_hrv_48_64_shedder48_64,1,1,26,0.594423993843108,188
0,gse73072_hrv_48_64_shedder48_64,1,1,27,0.283824600103652,596
0,gse73072_hrv_48_64_shedder48_64,1,1,28,0.23484735564244757,874
0,gse73072_hrv_48_64_shedder48_64,1,1,29,0.20868418238316816,674
0,gse73072_hrv_48_64_shedder48_64,1,1,30,0.16795456911759366,425
0,gse73072_hrv_48_64_shedder48_64,1,1,31,0.3896812239145187,737
0,gse73072_hrv_48_64_shedder48_64,1,1,32,0.4446366232276171,458
0,gse73072_hrv_48_64_shedder48_64,1,1,33,0.6253588707970472,87
0,gse73072_hrv_48_64_shedder48_64,1,1,34,0.521171948916554,623
0,gse73072_hrv_48_64,1,4,0,0.5499028197718976,598
0,gse73072_hrv_48_64,1,4,1,0.18421921686070641,217
0,gse73072_hrv_48_64,1,4,2,0.7245164877229714,20
0,gse73072_hrv_48_64,1,4,3,0.6997811629255447,79
0,gse73072_hrv_48_64,1,4,4,0.6102975482732257,633
0,gse73072_hrv_48_64,1,4,5,0.47371536795092606,547
0,gse73072_hrv_48_64,1,4,6,0.5095395155991431,688
0,gse73072_hrv_48_64,1,4,7,0.5201270243574531,474
0,gse73072_hrv_48_64,1,4,8,0.6000752036170638,439
0,gse73072_hrv_48_64,1,4,9,0.4702251494568397,676
0,gse73072_hrv_48_64,1,4,10,0.5529244637006857,818
0,gse73072_hrv_48_64,1,4,11,0.49462042523559463,380
0,gse73072_hrv_48_64,1,4,12,0.5403611685167138,1313
0,gse73072_hrv_48_64,1,4,13,0.6134582776687268,796
0,gse73072_hrv_48_64,1,4,14,0.4418392875012425,526
0,gse73072_hrv_48_64,1,4,15,0.44101470985249697,479
