,module 2,module 11,module 16
463,Oxct1,Ntrk3,4930523C07Rik
464,Slc47a2,Gm12908,1700057K13Rik
465,Cox18,Scand1,Slamf9
466,Cd276,Tesc,Slc1a7
467,Ccnh,5830416P10Rik,Chpf
468,Itsn2,Leprel2,Sp100
469,Ubxn2b,Esm1,
470,Kpna1,Gba2,
471,Mrps30,AI314180,
472,Mtmr12,Gm14634,
473,2210408I21Rik,Tmem151b,
474,G730013B05Rik,Ighg3,
475,Aggf1,Csmd2,
476,Rbm33,Diras2,
477,9330111N05Rik,Pck2,
478,Sephs1,Rspo1,
479,Sirt4,Gm16237,
480,Slc25a43,Dapk2,
481,Gm13822,Trav6d-4,
482,Pdlim2,Hao2,
483,Gm12953,Sit1,
484,Arvcf,1700016C15Rik,
485,Gm17189,1110003E01Rik,
486,Fbn1,Clstn1,
487,Mkrn2,Rbm8a,
488,Ms4a7,2610002M06Rik,
489,Ahdc1,Gm14239,
490,Gm16437,Itgad,
491,St6galnac4,Lhx9,
492,Tsr2,Rnf133,
493,A930005H10Rik,Rspry1,
494,Ppdpf,Hoxa9,
495,Plscr1,Ighv1-71,
496,2610028H24Rik,4931414P19Rik,
497,Slc12a8,Igkv8-27,
498,Hpse,Hdac7,
499,D10Wsu102e,Tnnc2,
500,AV064505,Fabp12,
501,Adora2a,Zar1,
502,Pfkp,Scyl2,
503,Zc3h7a,Trav13n-4,
504,Fbxl5,Arhgap5,
505,Actn1,Dppa2,
506,Kbtbd13,5430416O09Rik,
507,Gm16235,Ccr6,
508,Tmem173,Arhgap19,
509,Psrc1,Rhebl1,
510,Zfpm2,Dctn6,
511,Utp3,Igkv12-41,
512,Depdc1b,Ighv3-6,
513,1200007C13Rik,Sox4,
514,Gm12925,Gm13814,
515,4930430E12Rik,Gm13213,
516,Gm10425,F2rl3,
517,Fam115a,Mir3092,
518,Srd5a3,Brd9,
519,Ankrd13d,Ubqln1,
520,Pus1,Gpsm1,
521,Rhobtb3,Gm17230,
522,Coq4,Rfc4,
523,Mycbp,Mdm1,
524,Hk3,Igkv17-127,
525,Plekhf2,Igkv4-57,
526,Miat,2010015L04Rik,
527,Gtf3a,Lctl,
528,Srsf12,Gm13612,
529,Foxd4,D10Bwg1379e,
530,Phc2,2610109H07Rik,
531,Utp23,Gm17686,
532,Mypn,Smad4,
533,Sirpb1b,Ighv1-75,
534,Spata5,Ighg1,
535,Pak1ip1,4930453N24Rik,
536,Ggta1,Mir5109,
537,Batf2,Cd109,
538,Ranbp3l,Igkv15-103,
539,Nat8l,5133401N09Rik,
540,Col15a1,Gem,
541,Naip2,Scml2,
542,Wdr45,Gm13017,
543,Hmgb1-ps5,Fbxl2,
544,Pdgfrb,Gm14091,
545,Krt79,Kctd14,
546,Gm20529,Gm11841,
547,Gm12945,A930012O16Rik,
548,4933404O12Rik,Esrrb,
549,Dynll1,Igkv13-84,
550,Mxd4,Gm13624,
551,Gas2l3,Kbtbd3,
552,Atp1b3,Ighv1-39,
553,Sash3,Gm16353,
554,5031425E22Rik,Klhl14,
555,Gm10306,Otos,
556,Gm15856,Uso1,
557,Gm17395,Pax5,
558,Gimap9,Gm5161,
559,Glrx5,Ssr1,
560,E130309D02Rik,Hoxa6,
561,Itga4,Spnb1,
562,Gm11842,Gale,
563,C1qc,Rab19,
564,Pstpip2,Prcc,
565,Thy1,Rttn,
566,Csf2ra,C330027C09Rik,
567,Apaf1,Igkv10-96,
568,4632404H12Rik,Dio2,
569,Plcd1,Chst10,
570,Fbxw17,Ankrd35,
571,SNORD88,Gm16194,
572,Snx6,6720456B07Rik,
573,Rcn1,Igkv8-24,
574,Syde2,Me1,
575,Ndufb2,Gm9083,
576,AL591496.3,Gm14166,
577,Cnbp,Cyp2c69,
578,Gpnmb,BC027072,
579,1700121F15Rik,Snord73a,
580,Evl,Fam189b,
581,Ncaph2,Efcab6,
582,Gfi1,Cst6,
583,Pcnp,Mutyh,
584,Apex2,Fam82a2,
585,Gm4482,Gm16326,
586,Art3,Gstcd,
587,Kcnip3,2700086A05Rik,
588,Nphp4,Igkv3-1,
589,Eif1ax,Gm14820,
