,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,GO Significance
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,all,34,122.30676709885151
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,0,6714.905764129949
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,1,2599.1865789435014
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,2,6428.154027944092
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,3,2219.704576002921
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,4,5338.15874229034
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,5,2257.8357519579254
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,6,7980.110644611284
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,7,3229.249205049849
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,8,300.27620564529
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,all,9,5644.131857701509
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,0,71.96084436819363
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,1,171.0324256206612
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,2,10.870732653219536
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,3,713.387827545358
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,4,2456.422995090884
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,5,161.95262111788685
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,6,96.02783188962258
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,7,103.42325519404724
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,8,7455.300301551492
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,9,2421.7089459043355
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,10,84.89808049504015
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,11,178.9520175352834
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,12,4199.3586722400705
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,13,1881.9259425151113
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,14,3338.096885053882
0,salmonella_Liver,WGCNA_LBG,eigengene,1,1,1,15,136.6811588896991
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,0,13558.250896797024
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,1,199.92986779616385
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,2,5475.287036921535
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,3,3620.097912186389
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,4,2748.6430352423454
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,5,2474.129741959151
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,6,1363.4905839218086
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,7,1481.995813364682
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,8,2531.729893843544
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,9,1584.9476503520923
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,10,3509.6674560716096
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,11,113.23575174386474
0,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,3,12,4199.453890989327
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,0,771.6742602434069
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,1,161.77183889712973
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,2,3227.3828244518922
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,3,1221.8344233378841
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,4,2932.0398362862197
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,5,1314.1516565753977
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,6,5762.892083957898
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,7,2733.0326889813446
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,8,3037.5634486305307
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,9,1369.8032443469622
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,10,944.5624424488396
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,11,1702.7100176972665
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,12,2379.915386727286
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,13,2069.281753376069
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,14,632.5523502112285
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,15,699.6286966858719
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,16,251.42292326792807
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,17,252.1113530998977
0,gse73072_hrv_48_64_control,WGCNA_LBG,eigengene,1,1,0,18,729.3486944320971
