,module 2,module 11,module 16
396,Tlr6,Pde5a,Pydc3
397,Cul4a,1700026D08Rik,Gm12844
398,Prss42,Igkv4-59,SNORA71
399,Clcn3,Gm12988,RP23-230G11.1.1
400,Cryzl1,Igkv1-99,Gm6104
401,Tcirg1,Mmp2,Gm13777
402,Ube2r2,Fam124b,H60b
403,F630111L10Rik,Dnttip2,Gm10101
404,Cmtm3,Stx16,Gprc5d
405,Gtf2ird2,Igkv2-109,Mndal
406,Sla,D3Ertd751e,Antxrl
407,Gm4902,Gm7856,Ly9
408,Ndufb8,Cxcl11,Gm10337
409,Serpina3i,Gm13694,Mir1898
410,Ckap2l,Limch1,E330020D12Rik
411,Zfp456,Trbv13-3,Stx1a
412,Vill,Gm8121,Gm17349
413,Tspan5,Pcnt,Agfg1
414,Zfp622,RP23-352J18.2.1,Map4k4
415,Fam171a1,Iglv3,Serpinb7
416,Mterfd1,Oxsr1,C130036L24Rik
417,Col1a2,Unc80,Cxcr2
418,Gm12294,Igkv4-57-1,Sell
419,Klra2,Gm15666,Hcfc1
420,Rnft2,D830026I12Rik,Ptpn7
421,Synj1,AU023871,Nav1
422,Wdr95,4933422H20Rik,Kcnq5
423,Rnf144a,Wdr76,A430105J06Rik
424,Amica1,Creld1,Cpne7
425,Apol6,Gm6341,AL589870.1
426,2610002J02Rik,Plcb4,Rlbp1
427,Dnajc28,Mpp5,D630008O14Rik
428,Gm6594,Lmo1,Nenf
429,4930599N23Rik,Kif2c,Gm7582
430,Mitf,Itgb2l,Gm15453
431,Hsbp1l1,Wdr96,Mir382
432,Gnb4,P4htm,Cfdp1
433,Dennd4b,Fhdc1,Pcdhb3
434,Parn,Gm10121,Nek2
435,Ccdc12,Gm5465,4933439K11Rik
436,Kcnk3,Efna4,Serpinb10-ps
437,Dnahc10,Gm10135,Klf10
438,Phtf1,Gypa,Arid5a
439,Gm17036,Ighv1-12,Gm14834
440,Col4a1,Gm11824,Ap1s3
441,Cntln,Igkv4-90,Ppwd1
442,Etv6,Ank,Mrps36
443,Hist1h1b,Gm6169,Rassf5
444,Igfbp7,Tmem33,Rgs4
445,Gm514,Gpr81,Dnajb3
446,Ltb4r1,Cbfa2t3,5430435G22Rik
447,Exoc1,Cd19,Cacna1s
448,Znhit2-ps,E130303B06Rik,C130026I21Rik
449,Gm17122,9530046B11Rik,Orc2
450,Bcl10,Phip,RP24-113P16.1.1
451,Kctd17,Ighv9-4,D230002A01Rik
452,Gm16192,Gm11906,Nuf2
453,A830007P12Rik,Rbm19,Inhbb
454,Gm15650,Serpine3,Cd40lg
455,Tead4,Adad2,Gm14341
456,Slc17a7,Ighv1-55,Npl
457,Bag1,Gm15987,Rpl31-ps4
458,Znfx1,Hey1,Mir30b
459,Arhgap25,Pcdhb22,Zfp617
460,Btf3l4,Crmp1,Gm12474
461,Mios,Igkv4-74,Ptgis
462,Ogn,Prrc1,2210418O10Rik
463,Mcpt8,Hist4h4,Gm3608
464,Gm9833,Acap3,Gm17527
465,Cttnbp2,Gdf3,Gm15848
466,Hcls1,1700003G18Rik,Gm16067
467,Gm16933,1700067K01Rik,0610009D07Rik
468,Tmem54,Calhm2,Trpm6
469,Ehd4,Gpkow,Tagln2
470,Csnk2a2,A430092G05Rik,Atf3
471,B230378P21Rik,4930479M11Rik,Slamf6
472,Marveld1,Gm15428,Rpl19-ps1
473,Slc6a7,Erlin2,AL663049.1
474,Chchd3,Gm17477,Traf3ip3
475,Oxct1,Uba3,Il1rl2
476,Slc47a2,Gm13150,Slc11a1
477,Cox18,Ntrk3,2310036O22Rik
478,Hnrnpa1,Gm10190,Gm14925
479,Zfp595,Gm12908,BC094916
480,Ccnh,Trav7-4,A530040E14Rik
481,Elk1,Tesc,Gm10701
482,Itsn2,5830416P10Rik,Il18rap
483,Ubxn2b,Smc2,Mir677
484,4930547N16Rik,Rhox7,Abi2
485,Gm17099,Leprel2,Gm15568
486,Kpna1,Esm1,Gm16550
487,Mrps30,AI314180,Btg2
488,Tmem218,Wt1,Zic1
489,2210408I21Rik,Gm14634,Fcrl6
490,G730013B05Rik,Tmem151b,Lmod1
491,Aggf1,Ighg3,Gm6397
492,Rbm33,Csmd2,Gm10191
493,Sephs1,Diras2,Gm16897
494,Sirt4,Pck2,AU041133
495,Slc25a43,Ccdc132,Gm17683
496,Gm13822,Rspo1,Ifi205
497,Pdlim2,Hopx,Stat1
498,Gm12953,Zfp534,Pik3c2b
499,Arvcf,Trav6d-4,Dsel
500,Gm17189,Isl1,Gm8935
501,Fbn1,Sit1,Stk17b
502,Mkrn2,Bmx,Sp110
503,Ahdc1,1700016C15Rik,Csrp1
504,Gm16437,Rbm8a,Rftn2
505,St6galnac4,2610002M06Rik,Lysmd1
506,Ppdpf,Itgad,Speg
507,Plscr1,Lhx9,Gm20420
508,2610028H24Rik,Rspry1,4930523C07Rik
509,Hpse,Hoxa9,Slamf9
510,AV064505,Ighv1-71,Gm17492
511,Adora2a,Igkv8-27,Slc1a7
512,Pfkp,Hdac7,Chpf
513,Zc3h7a,Coq5,Trak2
514,Fbxl5,1700120B22Rik,Sp100
515,Actn1,Dlg3,AL591712.1
516,Slc35a1,Tnnc2,
517,Gm16235,Trav13n-4,
518,Tmem173,Arhgap5,
519,Psrc1,5430416O09Rik,
520,Zfpm2,Arhgap19,
521,Utp3,Herc3,
522,Rest,Rhebl1,
523,1200007C13Rik,Dctn6,
524,Gm12925,Igkv12-41,
525,Tacstd2,Ighv3-6,
526,4930430E12Rik,Sox4,
527,Gm10425,Miip,
528,Srd5a3,F2rl3,
529,Ankrd13d,Gm9858,
530,Pus1,Mir3092,
531,Coq4,Rfc4,
532,Mycbp,Igkv17-127,
533,Hk3,Tnks1bp1,
534,Plekhf2,Igkv4-57,
535,Gm5560,Tctn3,
536,Gtf3a,Lctl,
537,Srsf12,D10Bwg1379e,
538,4930540M05Rik,Gm17686,
539,Foxd4,Smad4,
540,Phc2,Ighv1-75,
541,Utp23,Avpr2,
542,Sirpb1b,Ighg1,
543,Fto,4930453N24Rik,
544,Kctd10,Cd109,
545,Pak1ip1,Igkv15-103,
546,Ggta1,Gm15261,
547,Batf2,Scml2,
548,AC103388.1,Bai2,
549,Gm10621,Fbxl2,
550,Nat8l,Gm14091,
551,Col15a1,Kctd14,
552,Naip2,Gm11841,
553,Wdr45,Igkv13-84,
554,Hmgb1-ps5,Gm13624,
555,Pdgfrb,Kbtbd3,
556,Aup1,Ighv1-39,
557,Gm20529,Gm14295,
558,4933404O12Rik,Gm16353,
559,Dynll1,Klhl14,
560,Mxd4,Otos,
561,Gas2l3,AL732626.1,
562,Atp1b3,Uso1,
563,Sash3,Pax5,
564,Pvt1,SNORD62,
565,Gm10306,Gm5161,
566,Gm17395,Ssr1,
567,Glrx5,Gabpa,
568,Clspn,Bex6,
569,Itga4,Hoxa6,
570,Gm11842,Spnb1,
571,C1qc,Rab19,
572,Pstpip2,Rttn,
573,Thy1,Prph2,
574,Pmaip1,C330027C09Rik,
575,Brd3,Igkv10-96,
576,Csf2ra,Dio2,
577,Apaf1,Chst10,
578,4632404H12Rik,Ankrd35,
579,Plcd1,Gm16194,
580,Fbxw17,Igkv8-24,
581,SNORD88,Slain1,
582,Snx6,Me1,
583,Rcn1,Gm14166,
584,Syde2,BC027072,
585,Ndufb2,Snord73a,
586,Cnbp,Fam189b,
587,Gpnmb,Dbf4,
588,Rin1,Efcab6,
589,1700121F15Rik,Cst6,
590,Gm6097,Gm6088,
591,Mrpl34,Mutyh,
592,Evl,Fam82a2,
593,Ncaph2,Gm16326,
594,Gfi1,Slc2a10,
595,2310030N02Rik,Npas4,
596,Pcnp,Vamp3,
597,Zfp455,2700086A05Rik,
598,Gm4482,Igkv3-1,
599,Art3,Fancb,
600,Fam125a,Cdc7,
601,Nphp4,Pif1,
602,Clta,Gm14820,
603,Eif1ax,Lrrc1,
604,Gm20531,Ighv9-3,
605,Cd14,Gm12542,
606,Gm20603,Gm14958,
607,Tmem201,Gm17344,
608,Ubash3b,Gm14098,
609,Gramd3,Kel,
610,Tbca,Alg3,
611,Clec7a,Gm15818,
612,Acpl2,Dnaja1,
613,Tmem57,Gm11029,
614,Gm16589,Slc29a4,
615,Abhd12b,Igkv16-104,
616,Inmt,Msmp,
617,Clec12b,Cabp1,
618,Usp24,Edf1,
619,Gm5150,Cenph,
620,Rs1,Gm12451,
621,1110002L01Rik,Gm14893,
622,Pik3cd,Paip1,
623,Arrdc1,Dusp16,
624,Plekhg1,Pkd1l3,
625,2310001H17Rik,Zfp182,
626,Nod2,Serpini1,
627,Cotl1,Rnf182,
628,Il22,Mir28b,
629,Lzts1,Rdh12,
630,Gm15651,Smek1,
631,Pqlc2,Fam23a,
632,1200009I06Rik,Gm9575,
633,Hsf4,Gm17498,
634,Gm13111,Lrp8,
635,Sorl1,Spink4,
636,Armcx2,Rrm2,
637,Ly6e,Icam5,
638,Synpo2l,Taar1,
639,Mzt2,Gimap7,
640,Trps1,Dlg2,
641,Batf,Ighv1-66,
642,Ndufs4,Erich1,
643,Gm15122,2310001K24Rik,
644,Baz1a,Ccdc84,
645,Ckb,Golga3,
646,Isca2,Gm15980,
647,Plagl2,C1ql3,
648,Klrb1b,Trim10,
649,5430427O19Rik,Slc4a1ap,
650,Gm17730,Trbc2,
651,Zfp935,Gm15401,
652,Gm16028,Gm17619,
653,Elmo1,Xlr4a,
654,Mrps26,4922505G16Rik,
655,Gm8093,Gm15482,
656,Card9,Susd3,
657,Eif3g,Cngb1,
658,Heatr3,Ighv14-3,
659,Ostm1,Ighv1-37,
660,Gm7887,Plaa,
661,Il12rb1,Egln3,
662,0610012G03Rik,Gm10430,
663,Mfsd3,Trbv20,
664,Wdhd1,Usp16,
665,Lilrb4,Rala,
666,Arhgef2,Trbj2-7,
667,P2ry12,Clgn,
668,Tmprss9,Mns1,
669,Tubb3,Igkv12-44,
670,Ctla2b,Ighv1-82,
671,Wdr36,Gpr174,
672,6430573F11Rik,Hspa13,
673,Rtp4,BC016579,
674,Bhlhe22,Tbrg1,
675,Txnl1,Gm14401,
676,Plekhm2,Spata9,
677,Eya3,2900002K06Rik,
678,1810046K07Rik,Cabin1,
679,Ralgds,Ighv6-6,
680,Tigit,L1cam,
681,Tardbp,Ccdc88c,
682,Gm17557,Lpar5,
683,Gm16286,Ighv1-18,
684,1810037I17Rik,Gm17699,
685,Cdk10,Igkc,
