,Data Set,Algorithm,Central Prototype,Data Dimension,Center Dimension,Fold,Module Number,BSR,Size
170,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,18,0.75,576
171,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,19,0.875,3937
172,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,20,0.625,567
173,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,21,0.75,1189
174,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,22,0.75,764
175,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,23,1.0,937
176,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,24,1.0,380
177,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,25,0.875,537
178,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,26,0.625,518
179,salmonella_Liver_susceptible,WGCNA_LBG,eigengene,1,1,0,27,1.0,669
180,ebola_Liver_Lethal,WGCNA_LBG,eigengene,1,1,4,0,1.0,2370
181,ebola_Liver_Lethal,WGCNA_LBG,eigengene,1,1,4,1,1.0,1590
182,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,0,0.5833333333333333,636
183,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,1,0.5833333333333333,753
184,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,2,0.75,1913
185,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,3,0.5833333333333333,1327
186,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,4,0.75,1452
187,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,5,0.75,1230
188,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,6,0.5833333333333333,4072
189,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,7,0.5,1232
190,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,8,0.75,559
191,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,9,0.75,669
192,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,10,0.75,697
193,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,11,0.5833333333333333,1371
194,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,12,0.5833333333333333,1509
195,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,13,0.5833333333333333,938
196,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,14,0.75,684
197,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,15,0.75,990
198,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,16,0.5833333333333333,1214
199,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,17,0.75,1284
200,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,18,0.75,970
201,salmonella_Liver_tolerant,WGCNA_LBG,eigengene,1,1,4,19,0.5,2832
202,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,0,0.8888888888888888,538
203,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,1,0.75,169
204,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,2,0.5555555555555556,22
205,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,3,0.6944444444444444,73
206,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,4,0.8611111111111112,605
207,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,5,0.8888888888888888,553
208,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,6,0.9722222222222222,723
209,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,7,0.9166666666666666,492
210,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,8,0.9444444444444444,426
211,gse73072_hrv_48_64,WGCNA_LBG,eigengene,1,1,4,9,0.8333333333333333,610
