,Data Set,Center Dimension,Fold,Module Number,Explained Variance,Size
0,salmonella_Liver_tolerant,1,4,13,0.4429316948781067,938
0,salmonella_Liver_tolerant,1,4,14,0.17457785293524672,684
0,salmonella_Liver_tolerant,1,4,15,0.32589944302514634,990
0,salmonella_Liver_tolerant,1,4,16,0.31397135704186785,1214
0,salmonella_Liver_tolerant,1,4,17,0.31638547477012086,1284
0,salmonella_Liver_tolerant,1,4,18,0.5904091362690207,970
0,salmonella_Liver_tolerant,1,4,19,0.3577617951187398,2832
0,gse73072_hrv_48_64,1,4,0,0.5370614823283225,538
0,gse73072_hrv_48_64,1,4,1,0.21208825017494706,169
0,gse73072_hrv_48_64,1,4,2,0.7998128952888028,22
0,gse73072_hrv_48_64,1,4,3,0.6728552830903852,73
0,gse73072_hrv_48_64,1,4,4,0.5974034411090877,605
0,gse73072_hrv_48_64,1,4,5,0.45931650715360645,553
0,gse73072_hrv_48_64,1,4,6,0.5263169645753458,723
0,gse73072_hrv_48_64,1,4,7,0.5042691251817353,492
0,gse73072_hrv_48_64,1,4,8,0.5833635122874065,426
0,gse73072_hrv_48_64,1,4,9,0.47434070629823344,610
0,gse73072_hrv_48_64,1,4,10,0.5421611411096628,1030
0,gse73072_hrv_48_64,1,4,11,0.5171199526290864,526
0,gse73072_hrv_48_64,1,4,12,0.5709796270753449,1180
0,gse73072_hrv_48_64,1,4,13,0.608271530015681,805
0,gse73072_hrv_48_64,1,4,14,0.47070784287959266,451
0,gse73072_hrv_48_64,1,4,15,0.48213992681107537,712
0,gse73072_hrv_48_64,1,4,16,0.20192472171085016,2641
0,gse73072_hrv_48_64,1,4,17,0.49327812877015903,852
0,gse73072_hrv_48_64,1,4,18,0.25354311182573036,330
0,gse73072_hrv_48_64,1,4,19,0.646334767827613,476
0,gse73072_hrv_48_64,1,4,20,0.5367019076966167,236
0,gse73072_hrv_48_64,1,4,21,0.4758051771349514,483
0,gse73072_hrv_48_64,1,4,22,0.395837878221223,458
